Date,GOOGLE,AMZN
5/16/06,185.835831,32.759998
5/17/06,187.437439,31.610001
5/18/06,185.680679,32.610001
5/19/06,185.19519,33.939999
5/22/06,185.66066,34.830002
5/23/06,187.977982,33.759998
5/24/06,190.815811,35.189999
5/25/06,191.686691,35.630001
5/26/06,190.86586,36.07
5/30/06,186.156158,34.639999
5/31/06,186.0961,34.610001
6/1/06,191.501495,35.07
6/2/06,189.909912,34.759998
6/5/06,187.40741,33.490002
6/6/06,195.190186,33.41
6/7/06,193.448456,33.77
6/8/06,196.846848,33.549999
6/9/06,193.478485,33.779999
6/12/06,190.960968,33.599998
6/13/06,193.453461,33.470001
6/14/06,192.38739,33.68
6/15/06,195.695694,34.959999
6/16/06,195.545547,35.09
6/19/06,194.264267,35.07
6/20/06,193.778778,35.48
6/21/06,201.266266,36.650002
6/22/06,200.175171,36.369999
6/23/06,202.632629,36.549999
6/26/06,202.312317,36.77
6/27/06,201.361359,36.48
6/28/06,203.258255,36.700001
6/29/06,209.11412,38.52
6/30/06,209.874878,38.68
7/3/06,211.811813,38.610001
7/5/06,210.940948,37.110001
7/6/06,211.806808,36.799999
7/7/06,210.43544,36.110001
7/10/06,209.309311,35.790001
7/11/06,212.492493,35.66
7/12/06,208.833832,34.630001
7/13/06,204.619614,33.73
7/14/06,201.95195,32.919998
7/17/06,204.149155,33.669998
7/18/06,201.72673,33.490002
7/19/06,199.699707,34.48
7/20/06,193.753754,34.18
7/21/06,195.250244,33.189999
7/24/06,195.645645,34.310001
7/25/06,194.874878,33.59
7/26/06,192.942947,26.26
7/27/06,191.391388,26.559999
7/28/06,194.254257,27.17
7/31/06,193.4935,26.889999
8/1/06,187.942947,26.32
8/2/06,183.798798,26.09
8/3/06,187.882889,26.690001
8/4/06,187.112106,27.290001
8/7/06,189.164169,26.780001
8/8/06,190.690689,26.360001
8/9/06,188.658661,26.209999
8/10/06,187.287292,26.49
8/11/06,184.434433,26.07
8/14/06,184.899902,26.530001
8/15/06,190.675674,27.77
8/16/06,194.054047,27.950001
8/17/06,193.093094,29.09
8/18/06,191.871872,29.120001
8/21/06,188.838837,28.129999
8/22/06,189.334335,28.370001
8/23/06,186.901901,28.139999
8/24/06,187.052048,27.969999
8/25/06,186.816818,28.030001
8/28/06,190.665665,28.91
8/29/06,189.664658,29.52
8/30/06,190.565567,30.67
8/31/06,189.454453,30.83
9/1/06,189.489487,31.76
9/5/06,192.372375,32.23
9/6/06,190.260254,30.799999
9/7/06,189.434433,29.73
9/8/06,189.11412,30.51
9/11/06,192.237244,30.790001
9/12/06,196.146149,31.719999
9/13/06,203.488495,31.67
9/14/06,202.1922,31.65
9/15/06,205.145142,32.52
9/18/06,207.552551,32.080002
9/19/06,202.107101,31.58
9/20/06,198.6987,32.119999
9/21/06,203.628632,30.219999
9/22/06,202.092087,30.84
9/25/06,202.1922,31.790001
9/26/06,203.638641,32.5
9/27/06,201.661667,32.330002
9/28/06,201.991989,31.84
9/29/06,201.151154,32.119999
10/2/06,200.920914,30.870001
10/3/06,202.222229,31.700001
10/4/06,208.05806,32.759998
10/5/06,206.111115,33.32
10/6/06,210.460464,32.59
10/9/06,214.714722,33.380001
10/10/06,213.538544,32.619999
10/11/06,213.46347,32.91
10/12/06,213.933929,33.549999
10/13/06,213.863861,33.32
10/16/06,211.08609,32.599998
10/17/06,210.530533,32.470001
10/18/06,209.864868,32.310001
10/19/06,213.24324,32.540001
10/20/06,230.065063,32.57
10/23/06,240.63063,32.880001
10/24/06,236.891891,33.630001
10/25/06,243.543549,37.68
10/26/06,242.792786,38.299999
10/27/06,237.837845,38.240002
10/30/06,238.523529,38.150002
10/31/06,238.433426,38.09
11/1/06,233.983978,37.560001
11/2/06,235.190186,37.450001
11/3/06,236.136139,37.459999
11/6/06,238.713715,38.209999
11/7/06,236.521515,38.77
11/8/06,237.737732,39.470001
11/9/06,236.551544,38.84
11/10/06,237.012009,39.259998
11/13/06,240.755753,39.990002
11/14/06,244.894897,41.509998
11/15/06,246.211212,42.599998
11/16/06,248.198196,42.84
11/17/06,249.644638,42.549999
11/20/06,247.772766,42.439999
11/21/06,255.080078,42.540001
11/22/06,254.259262,42.959999
11/24/06,252.752747,42.41
11/27/06,242.617615,40.849998
11/28/06,244.994995,40.919998
11/29/06,242.567566,40.630001
11/30/06,242.647644,40.34
12/1/06,240.64064,39.41
12/4/06,242.667664,39.099998
12/5/06,243.743744,38.98
12/6/06,244.599594,38.900002
12/7/06,241.561554,38.119999
12/8/06,242.297302,38.459999
12/11/06,242.207214,38.689999
12/12/06,241.131134,38.459999
12/13/06,239.734741,38.5
12/14/06,241.3013,39.02
12/15/06,240.390396,40.009998
12/18/06,231.631638,39.259998
12/19/06,234.549545,39.419998
12/20/06,231.681686,40.009998
12/21/06,228.328323,39.889999
12/22/06,228.018021,40.240002
12/26/06,228.993988,39.799999
12/27/06,234.249252,40.290001
12/28/06,231.511505,40.209999
12/29/06,230.470474,39.459999
1/3/07,234.029022,38.700001
1/4/07,241.871872,38.900002
1/5/07,243.838837,38.369999
1/8/07,242.032028,37.5
1/9/07,242.992996,37.779999
1/10/07,244.974976,37.150002
1/11/07,250.110107,37.400002
1/12/07,252.752747,38.200001
